external_source,external_id,query_used,city_used,name,type_name,address,latitude,longitude,source_location,website_url,phone,description,season_slugs,photo_urls,estimated_cost,estimated_duration,is_active,image_query_used,primary_image_local_path,primary_image_url,image_status,image_source,image_content_type,s3_key
2gis,7E+16,сыроварня в Краснодаре,Краснодар,"Сыроварня, итальянский ресторан",cheese,"улица Ленина, 25",55.030198,82.904727,Краснодарский край,,,"Сыроварня, итальянский ресторан — это сыроварня и гастрономическая точка. Место находится по адресу улица Ленина, 25, Краснодар. Такие локации чаще всего выбирают ради ремесленных сыров, фермерских деликатесов и возможности купить что-то с собой. Локация особенно интересна тем, кто любит авторские продукты, небольшие производства и неформальную атмосферу. Для более комфортного визита разумно заранее узнать график работы и наличие дегустаций или свежих партий продукции, а в рамках поездки Сыроварня, итальянский ресторан может стать приятной точкой для короткого визита или более спокойного отдыха.",fall,,1775,1,TRUE,"Сыроварня, итальянский ресторан Краснодар cheese","downloaded_place_images/cheese_Краснодар_Сыроварня,_итальянский_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Краснодар_Сыроварня,_итальянский_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Краснодаре,Краснодар,"Сыроварня, ресторан",cheese,"бульвар Строителей, 16",55.350769,86.161692,Краснодарский край,,,"Сыроварня, ресторан — это место для знакомства с фермерскими сырами. Место находится по адресу бульвар Строителей, 16, Краснодар. Такие локации чаще всего выбирают ради ремесленных сыров, фермерских деликатесов и возможности купить что-то с собой. Место подойдет и для короткого заезда по пути, и для неспешного гастрономического визита в выходной день. Если планируете визит специально, лучше заранее проверить часы работы и наличие интересующих позиций, а для путешествия по этой части края Сыроварня, ресторан можно включить в маршрут как атмосферную и практичную остановку.",fall,,1462,1,TRUE,"Сыроварня, ресторан Краснодар cheese","downloaded_place_images/cheese_Краснодар_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Краснодар_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Краснодаре,Краснодар,"Сыроварня, ресторан",cheese,"Советская улица, 54",57.156436,65.542949,Краснодарский край,,,"Сыроварня, ресторан — это семейная сыроварня. Место находится по адресу Советская улица, 54, Краснодар. Здесь обычно ищут свежие сыры, локальные продукты и спокойную атмосферу без городской суеты. Место подойдет и для короткого заезда по пути, и для неспешного гастрономического визита в выходной день. Перед посещением стоит уточнить ассортимент и режим работы, потому что у небольших сыроварен он может меняться по сезону, а если вы планируете маршрут заранее, Сыроварня, ресторан можно рассмотреть как удобную и запоминающуюся остановку.",fall,,1402,1,TRUE,"Сыроварня, ресторан Краснодар cheese","downloaded_place_images/cheese_Краснодар_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Краснодар_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Краснодаре,Краснодар,"Сыроварня, ресторан",cheese,"улица Урицкого, 94",56.009235,92.868934,Краснодарский край,,,"Сыроварня, ресторан — это семейная сыроварня. Место находится по адресу улица Урицкого, 94, Краснодар. Здесь обычно ищут свежие сыры, локальные продукты и спокойную атмосферу без городской суеты. Сюда можно заехать во время поездки по краю, если хочется добавить в маршрут локальную гастрономию и небольшие покупки. Если планируете визит специально, лучше заранее проверить часы работы и наличие интересующих позиций, а в рамках поездки Сыроварня, ресторан может стать приятной точкой для короткого визита или более спокойного отдыха.",fall,,1199,1,TRUE,"Сыроварня, ресторан Краснодар cheese","downloaded_place_images/cheese_Краснодар_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Краснодар_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Краснодаре,Краснодар,"Сыроварня, ресторан",cheese,"проспект Ленина, 1а",53.330287,83.79541,Краснодарский край,,,"Сыроварня, ресторан — это сыроварня и гастрономическая точка. Место находится по адресу проспект Ленина, 1а, Краснодар. Такие локации чаще всего выбирают ради ремесленных сыров, фермерских деликатесов и возможности купить что-то с собой. Сюда можно заехать во время поездки по краю, если хочется добавить в маршрут локальную гастрономию и небольшие покупки. Если планируете визит специально, лучше заранее проверить часы работы и наличие интересующих позиций, а в рамках поездки Сыроварня, ресторан может стать приятной точкой для короткого визита или более спокойного отдыха.",fall,,897,1,TRUE,"Сыроварня, ресторан Краснодар cheese","downloaded_place_images/cheese_Краснодар_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Краснодар_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Краснодаре,Краснодар,"Сыроварня, ресторан",cheese,"Снежная улица, 5/4",52.948352,87.966175,Краснодарский край,,,"Сыроварня, ресторан — это место для знакомства с фермерскими сырами. Место находится по адресу Снежная улица, 5/4, Краснодар. Для гостей это, как правило, удобная остановка, где можно познакомиться с локальными вкусами и продукцией небольших производителей. Сюда можно заехать во время поездки по краю, если хочется добавить в маршрут локальную гастрономию и небольшие покупки. Для более комфортного визита разумно заранее узнать график работы и наличие дегустаций или свежих партий продукции, а для путешествия по этой части края Сыроварня, ресторан можно включить в маршрут как атмосферную и практичную остановку.",fall,,1452,1,TRUE,"Сыроварня, ресторан Краснодар cheese","downloaded_place_images/cheese_Краснодар_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Краснодар_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Краснодаре,Краснодар,"Сыроварня, ресторан",cheese,"Светланская улица, 37а",43.115215,131.889563,Краснодарский край,,,"Сыроварня, ресторан — это семейная сыроварня. Место находится по адресу Светланская улица, 37а, Краснодар. Здесь обычно ищут свежие сыры, локальные продукты и спокойную атмосферу без городской суеты. Место подойдет и для короткого заезда по пути, и для неспешного гастрономического визита в выходной день. Если планируете визит специально, лучше заранее проверить часы работы и наличие интересующих позиций, а для путешествия по этой части края Сыроварня, ресторан можно включить в маршрут как атмосферную и практичную остановку.",fall,,1288,1,TRUE,"Сыроварня, ресторан Краснодар cheese","downloaded_place_images/cheese_Краснодар_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Краснодар_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Краснодаре,Краснодар,"Сыроварня, ресторан",cheese,"проспект Октября, 81",54.77382,56.026398,Краснодарский край,,,"Сыроварня, ресторан — это сыроварня и гастрономическая точка. Место находится по адресу проспект Октября, 81, Краснодар. Здесь обычно ищут свежие сыры, локальные продукты и спокойную атмосферу без городской суеты. Место подойдет и для короткого заезда по пути, и для неспешного гастрономического визита в выходной день. Если планируете визит специально, лучше заранее проверить часы работы и наличие интересующих позиций, а в рамках поездки Сыроварня, ресторан может стать приятной точкой для короткого визита или более спокойного отдыха.",fall,,1362,1,TRUE,"Сыроварня, ресторан Краснодар cheese","downloaded_place_images/cheese_Краснодар_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Краснодар_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Краснодаре,Краснодар,"Сыроварня, ресторан",cheese,"набережная реки Ушайки, 8",56.486429,84.950838,Краснодарский край,,,"Сыроварня, ресторан — это сыроварня и гастрономическая точка. Место находится по адресу набережная реки Ушайки, 8, Краснодар. Здесь обычно ищут свежие сыры, локальные продукты и спокойную атмосферу без городской суеты. Сюда можно заехать во время поездки по краю, если хочется добавить в маршрут локальную гастрономию и небольшие покупки. Перед посещением стоит уточнить ассортимент и режим работы, потому что у небольших сыроварен он может меняться по сезону, а для путешествия по этой части края Сыроварня, ресторан можно включить в маршрут как атмосферную и практичную остановку.",fall,,2141,1,TRUE,"Сыроварня, ресторан Краснодар cheese","downloaded_place_images/cheese_Краснодар_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Краснодар_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Краснодаре,Краснодар,"Сыроварня, ресторан",cheese,"Октябрьская площадь, 1",56.322952,44.009046,Краснодарский край,,,"Сыроварня, ресторан — это сыроварня и гастрономическая точка. Место находится по адресу Октябрьская площадь, 1, Краснодар. Такие локации чаще всего выбирают ради ремесленных сыров, фермерских деликатесов и возможности купить что-то с собой. Место подойдет и для короткого заезда по пути, и для неспешного гастрономического визита в выходной день. Если планируете визит специально, лучше заранее проверить часы работы и наличие интересующих позиций, а для путешествия по этой части края Сыроварня, ресторан можно включить в маршрут как атмосферную и практичную остановку.",fall,,1408,1,TRUE,"Сыроварня, ресторан Краснодар cheese","downloaded_place_images/cheese_Краснодар_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Краснодар_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Краснодаре,Краснодар,"Сыроварня, ресторан",cheese,"улица Дзержинского, 14а",55.794967,49.116258,Краснодарский край,,,"Сыроварня, ресторан — это семейная сыроварня. Место находится по адресу улица Дзержинского, 14а, Краснодар. Такие локации чаще всего выбирают ради ремесленных сыров, фермерских деликатесов и возможности купить что-то с собой. Сюда можно заехать во время поездки по краю, если хочется добавить в маршрут локальную гастрономию и небольшие покупки. Перед посещением стоит уточнить ассортимент и режим работы, потому что у небольших сыроварен он может меняться по сезону, а если вы планируете маршрут заранее, Сыроварня, ресторан можно рассмотреть как удобную и запоминающуюся остановку.",fall,,1963,1,TRUE,"Сыроварня, ресторан Краснодар cheese","downloaded_place_images/cheese_Краснодар_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Краснодар_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Сочи,Сочи,"Сыроварня, ресторан",cheese,"набережная Времена Года, 3",43.683345,40.25901,Краснодарский край,,,"Сыроварня, ресторан — это семейная сыроварня. Место находится по адресу набережная Времена Года, 3, Сочи. Здесь обычно ищут свежие сыры, локальные продукты и спокойную атмосферу без городской суеты. Локация особенно интересна тем, кто любит авторские продукты, небольшие производства и неформальную атмосферу. Перед посещением стоит уточнить ассортимент и режим работы, потому что у небольших сыроварен он может меняться по сезону, а если вы планируете маршрут заранее, Сыроварня, ресторан можно рассмотреть как удобную и запоминающуюся остановку.",fall,,1165,1,TRUE,"Сыроварня, ресторан Сочи cheese","downloaded_place_images/cheese_Сочи_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Сочи_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Анапе,Анапа,"Сыроварня, ресторан",cheese,"Ковенский переулок, 5",59.936874,30.356419,Краснодарский край,,,"Сыроварня, ресторан — это место для знакомства с фермерскими сырами. Место находится по адресу Ковенский переулок, 5, Анапа. Такие локации чаще всего выбирают ради ремесленных сыров, фермерских деликатесов и возможности купить что-то с собой. Локация особенно интересна тем, кто любит авторские продукты, небольшие производства и неформальную атмосферу. Для более комфортного визита разумно заранее узнать график работы и наличие дегустаций или свежих партий продукции, а в рамках поездки Сыроварня, ресторан может стать приятной точкой для короткого визита или более спокойного отдыха.",fall,,1138,1,TRUE,"Сыроварня, ресторан Анапа cheese","downloaded_place_images/cheese_Анапа_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Анапа_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Анапе,Анапа,"Сыроварня, ресторан",cheese,"улица Суворова, 64",47.225875,39.731169,Краснодарский край,,,"Сыроварня, ресторан — это сыроварня и гастрономическая точка. Место находится по адресу улица Суворова, 64, Анапа. Здесь обычно ищут свежие сыры, локальные продукты и спокойную атмосферу без городской суеты. Локация особенно интересна тем, кто любит авторские продукты, небольшие производства и неформальную атмосферу. Для более комфортного визита разумно заранее узнать график работы и наличие дегустаций или свежих партий продукции, а в рамках поездки Сыроварня, ресторан может стать приятной точкой для короткого визита или более спокойного отдыха.",fall,,2379,1,TRUE,"Сыроварня, ресторан Анапа cheese","downloaded_place_images/cheese_Анапа_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Анапа_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Анапе,Анапа,"Сыроварня, ресторан",cheese,"Лиговский проспект, 30",59.928482,30.360406,Краснодарский край,,,"Сыроварня, ресторан — это семейная сыроварня. Место находится по адресу Лиговский проспект, 30, Анапа. Для гостей это, как правило, удобная остановка, где можно познакомиться с локальными вкусами и продукцией небольших производителей. Место подойдет и для короткого заезда по пути, и для неспешного гастрономического визита в выходной день. Перед посещением стоит уточнить ассортимент и режим работы, потому что у небольших сыроварен он может меняться по сезону, а для путешествия по этой части края Сыроварня, ресторан можно включить в маршрут как атмосферную и практичную остановку.",fall,,1062,1,TRUE,"Сыроварня, ресторан Анапа cheese","downloaded_place_images/cheese_Анапа_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Анапа_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Анапе,Анапа,"Сыроварня, ресторан",cheese,"Хорошёвское шоссе, 27",55.777666,37.523656,Краснодарский край,,,"Сыроварня, ресторан — это семейная сыроварня. Место находится по адресу Хорошёвское шоссе, 27, Анапа. Для гостей это, как правило, удобная остановка, где можно познакомиться с локальными вкусами и продукцией небольших производителей. Локация особенно интересна тем, кто любит авторские продукты, небольшие производства и неформальную атмосферу. Перед посещением стоит уточнить ассортимент и режим работы, потому что у небольших сыроварен он может меняться по сезону, а в рамках поездки Сыроварня, ресторан может стать приятной точкой для короткого визита или более спокойного отдыха.",fall,,1409,1,TRUE,"Сыроварня, ресторан Анапа cheese","downloaded_place_images/cheese_Анапа_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Анапа_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Анапе,Анапа,"Сыроварня, ресторан",cheese,"2-я Останкинская улица, 3",55.826109,37.62975,Краснодарский край,,,"Сыроварня, ресторан — это семейная сыроварня. Место находится по адресу 2-я Останкинская улица, 3, Анапа. Здесь обычно ищут свежие сыры, локальные продукты и спокойную атмосферу без городской суеты. Место подойдет и для короткого заезда по пути, и для неспешного гастрономического визита в выходной день. Для более комфортного визита разумно заранее узнать график работы и наличие дегустаций или свежих партий продукции, а в рамках поездки Сыроварня, ресторан может стать приятной точкой для короткого визита или более спокойного отдыха.",fall,,1040,1,TRUE,"Сыроварня, ресторан Анапа cheese","downloaded_place_images/cheese_Анапа_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Анапа_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
2gis,7E+16,сыроварня в Анапе,Анапа,"Сыроварня, ресторан",cheese,"Большая Никитская улица, 60 ст2",55.758723,37.586328,Краснодарский край,,,"Сыроварня, ресторан — это семейная сыроварня. Место находится по адресу Большая Никитская улица, 60 ст2, Анапа. Для гостей это, как правило, удобная остановка, где можно познакомиться с локальными вкусами и продукцией небольших производителей. Место подойдет и для короткого заезда по пути, и для неспешного гастрономического визита в выходной день. Перед посещением стоит уточнить ассортимент и режим работы, потому что у небольших сыроварен он может меняться по сезону, а в рамках поездки Сыроварня, ресторан может стать приятной точкой для короткого визита или более спокойного отдыха.",fall,,1612,1,TRUE,"Сыроварня, ресторан Анапа cheese","downloaded_place_images/cheese_Анапа_Сыроварня,_ресторан.jpg","https://storage.yandexcloud.net/hackathon-ss/places-images/cheese_Анапа_Сыроварня,_ресторан.jpg",done,yandex_images_auto,image/jpeg,
